@RELATION teapots

@ATTRIBUTE AIHelper {true, false}
@ATTRIBUTE Weight NUMERIC
@ATTRIBUTE IsNew {true, false}
@ATTRIBUTE Width NUMERIC
@ATTRIBUTE Length NUMERIC
@ATTRIBUTE Height NUMERIC
@ATTRIBUTE Warranty {No, HalfYear, OneYear, OneAndHalfYear, TwoYears, ThreeYears}
@ATTRIBUTE WarrantyProvidedBySeller {true, false}
@ATTRIBUTE PowerCordLength STRING
@ATTRIBUTE TeaBrewing {true, false}
@ATTRIBUTE WaterFillingWithoutOpening {true, false}
@ATTRIBUTE SoundSignalOnBoil {true, false}
@ATTRIBUTE IndicationTemperature {true, false}
@ATTRIBUTE IndicationWaterLevel {true, false}
@ATTRIBUTE IndicationSwitchingOn {true, false}
@ATTRIBUTE HeatingModesCount NUMERIC
@ATTRIBUTE WallsCount NUMERIC
@ATTRIBUTE MaxVolume NUMERIC
@ATTRIBUTE BodyMaterial STRING
@ATTRIBUTE AutoShutOffNoWater {true, false}
@ATTRIBUTE AutoShutOffOnLift {true, false}
@ATTRIBUTE DelayedStart {true, false}
@ATTRIBUTE Country {Китай, Россия, Турция, США, Германия}
@ATTRIBUTE Functions STRING

@DATA
false,-0.032947860062299814,true,0.030572998337795986,0.4653400620214543,-0.008423521715396193,TwoYears,false,?,false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Китай,'шумоподавление'
false,-0.019682027203134833,true,0.21643638619119257,0.6764061970782925,1.1596149987054425,TwoYears,false,'0.8',false,false,false,true,true,true,5,2,-0.26292268281992076,'пластик',true,true,false,Китай,'поддержание_температуры'
false,-0.03795939692020659,false,1.1251018379189102,0.2073703413964291,-2.4819168590771743,TwoYears,false,'0.75',false,false,false,false,false,true,1,2,-0.26292268281992076,'пластик_сталь',true,true,false,Китай,'?'
false,-0.03442184149109593,false,-0.7748350156935908,-0.027147586444502582,-1.2451701903962853,OneYear,false,?,false,false,false,false,true,true,?,?,-1.1783017979945327,'пластик',true,true,false,Китай,'?'
false,-0.03619061920565126,false,0.6294661369765189,-1.316996189569627,-1.2451701903962853,ThreeYears,false,?,false,true,false,false,true,true,1,?,-0.26292268281992076,'стекло',true,true,false,Китай,'?'
false,0.0009537128000107003,true,0.29904233634825755,-4.154663116444901,3.220859446506924,TwoYears,false,?,false,false,true,true,true,true,5,1,-0.1321542377949761,'пластик_сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.03736980434868815,true,-0.2998508022904654,-0.14440655036496844,-0.3863183371456682,TwoYears,false,'0.7',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,false,false,Китай,'?'
false,-0.03560102663413282,true,0.6707691120550514,-0.6134424060468319,-0.8329213008359894,OneYear,false,'0.75',false,false,false,false,true,true,1,2,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.03442184149109593,false,0.5262086992801873,-0.6368941988309254,-0.5580887077957917,OneYear,false,'0.75',false,false,false,true,true,true,7,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.03972817463476192,false,-0.5270171652223952,0.019755999123683587,0.541241664364998,OneYear,false,'0.8',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Китай,'?'
false,-0.041791748635076474,true,-0.19659336459413382,-0.49618344212636595,1.5031557400056894,OneYear,false,'0.75',false,false,false,false,false,true,1,1,0.3909195423048021,'пластик_металл',true,true,false,Китай,'?'
false,-0.031473878633503705,true,0.8359810123691821,-0.9652192978082293,0.12899277480470206,OneYear,false,'0.7',false,false,false,false,true,true,1,?,-0.00138579277003169,'стекло_металл',true,true,false,Китай,'?'
false,-0.03937441909185086,true,-1.249819229096716,1.848995836282951,-1.142107968006211,OneYear,false,'0.7',false,false,false,false,false,true,1,1,-1.1783017979945327,'сталь',true,true,false,Китай,'?'
false,-0.022629990060727054,false,0.5262086992801873,0.32462930531689493,0.2664090713248003,OneYear,false,'0.7',false,false,false,false,true,true,1,1,-0.00138579277003169,'стекло',true,true,false,Китай,'?'
false,-0.016734064345542612,true,-0.38245675244753036,0.5825990259419201,0.40382536784489975,OneYear,false,?,false,false,false,false,true,true,?,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.03736980434868815,false,0.6294661369765189,-1.316996189569627,0.12899277480470206,OneYear,false,'0.7',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Россия,'?'
false,-0.058948892466263184,true,-1.0226528661647865,0.6295026115101063,0.47253351610494887,OneYear,false,'0.9',false,false,false,false,true,true,1,2,0.3909195423048021,'пластик',true,true,false,Китай,'?'
false,-0.03442184149109593,true,-0.7128805530757918,0.32462930531689493,-0.45502648540571733,OneYear,false,'0.75',false,false,false,false,true,true,1,1,-0.00138579277003169,'сталь',true,false,false,Китай,'?'
false,-0.02557795291831927,false,-0.5476686527616611,0.3949846836691746,0.6786579608850974,OneYear,false,'0.7',false,false,true,true,true,true,7,2,-0.00138579277003169,'сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.022629990060727054,false,-0.5683201403009277,0.3480810981009885,0.6099498126250471,OneYear,false,'1',true,false,true,true,true,true,7,1,-0.00138579277003169,'сталь',true,true,false,Китай,'шумоподавление_поддержание_температуры_заваривание_чая'
false,-0.009364157201562067,true,-0.2998508022904654,0.2073703413964291,0.91913647979527,OneYear,false,'0.8',false,false,true,true,true,true,4,2,-0.26292268281992076,'пластик_сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.031473878633503705,false,0.009921510798529376,-0.9652192978082293,-0.729859078445915,OneYear,false,'0.75',true,false,false,false,true,true,1,2,-0.00138579277003169,'пластик_стекло',true,true,false,Китай,'заваривание_чая'
false,-0.03442184149109593,true,-0.7128805530757918,0.2073703413964291,0.30076314545482546,OneYear,false,'0.7',false,false,false,true,true,true,7,2,-0.26292268281992076,'пластик_сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.003468231486377638,true,-0.2378963396726663,0.4418882692373608,0.30076314545482546,OneYear,false,'0.8',true,false,true,true,true,true,6,?,-0.00138579277003169,'стекло',true,true,false,Китай,'поддержание_температуры_заваривание_чая'
