Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	1.05	новый	23.6*22.1*19.1 см		2 года	производителем	100 *С					включения, уровня воды	1	1	1.7		пластик		Да	Да	Да					2400						новый	Да	полностью съемная		Китай	Да	диск	Да	снижения уровня шума	белый			отсутствует
	1.5	новый	27*23*20 см		2 года	производителем	40-100 *С	0.8				включения, уровня воды, температуры	5	2	1.5		пластик		Да	Да	Да		Да			1800		Да		Да		новый	Да	кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	белый	отсутствует	Да	отсутствует
	0.88		16.4*21*24.4 см		2 года	производителем	100 *С	0.75				включения	1	2	1.5		пластик/ нержавеющая сталь		Да	Да	Да		Да			1500						новый	Да	кнопка на корпусе		Китай		скрытый нагревательный элемент			белый			отсутствует
	1		20*20*15.2 см		1 год	производителем						включения, уровня воды			0.8		пластик		Да	Да	Да					1400										Китай		ТЭН	Да		зеленый			
	0.94		20*14.5*22 см		3 года	производителем				Да		включения, уровня воды	1		1.5		термостойкое стекло		Да	Да	Да		Да		Да	1950						новый		кнопка на корпусе		Китай		закрытая спираль	Да		белый/ черный	синий		
	2.2	новый	33*2.4*20.4 см		2 года	производителем	40-100 *С				Да	включения, уровня воды, температуры	5	1	1.6		нержавеющая сталь/ пластик		Да	Да	Да		Да			3000		Да				новый		кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	хромированный/ черный	отсутствует	Да	отсутствует
	0.9	новый	22.5*19.5*17.5 см		2 года	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		пластик		Да	Да			Да			2200						новый		нажатие		Китай		диск	Да		черный	отсутствует		отсутствует
	0.96	новый	21.2*17.5*22.2 см		1 год	производителем	1-100 *С	0.75				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		жемчужный	отсутствует		
	1		22*17.4*21.5 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200		Да		Да				полностью съемная		Китай		закрытая спираль	Да		черный	отсутствует		отсутствует
	0.82		25.2*20.2*16.4 см		1 год	производителем	30-100 *С	0.8				включения, уровня воды	1	1	1.7		пищевой термостойкий пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	0.75	новый	28*18*18 см		1 год	производителем	100-100 *С	0.75				включения	1	1	2		металл/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск	Да		белый/ черный	отсутствует		отсутствует
	1.1	новый	24*16*23 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1		1.7		металл/ стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН	Да		серебристый/ черный	синий		отсутствует
	0.832	новый	20.3*28*12.9 см		1 год	производителем	100 *С	0.7				включения	1	1	0.8		нержавеющая сталь		Да	Да	Да		Да			1600						новый		полностью съемная		Китай		ТЭН			белый/ черный	отсутствует		отсутствует
	1.4		24.4*21.5*21.5 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да				Да	2150						новый		кнопка на корпусе		Китай		диск	Да		белый	голубой		отсутствует
	1.6	новый	24.8*22.6*17.1 см		1 год	производителем	100 *С					включения, уровня воды		1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый				Китай		диск	Да		голубой			
	0.9		24*14.5*22 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		полимер/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Россия		закрытая спираль	Да		белый/ черный			отсутствует
	0.168	новый	25*22.8*14 см		1 год	производителем	1-100 *С	0.9				включения, уровня воды	1	2	2		пластик		Да	Да	Да					1800						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		
	1	новый	22.3*21.5*15.5 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да			Да			2100						новый		кнопка на корпусе		Китай		диск	Да		розовый	отсутствует		отсутствует
